clave,descripcion
Ramo de Fresias|S,"{n} fresias de flores acampanadas alineadas a un lado del tallo, recogidas en un ramillete sencillo y perfumado. Un detalle dulce y fresco, perfecto para alegrar una mañana cualquiera."
Ramo de Fresias|M,"{n} fresias de flores acampanadas alineadas a un lado del tallo, reunidas en un ramo ligero y muy perfumado. Su aroma dulce transmite frescura y buen humor."
Ramo de Fresias|L,{n} fresias de flores acampanadas alineadas a un lado del tallo forman un ramo amplio y abundante. Su aroma dulce llena la casa entera y convierte el regalo en un gran gesto.
Ramo de Gerberas|S,"{n} gerberas de flor plana, con pétalos radiales alrededor de un centro marcado, recogidas en un ramillete sencillo. Un detalle lleno de buen humor que arranca una sonrisa al momento."
Ramo de Gerberas|M,"{n} gerberas de flor plana, con pétalos radiales alrededor de un centro marcado, reunidas en un ramo redondo de tallos firmes. Una explosión de buen humor que alegra cualquier estancia."
Ramo de Gerberas|L,"{n} gerberas de flor plana, con pétalos radiales alrededor de un centro marcado, forman un ramo amplio y lleno. Un gran gesto de alegría, imposible de recibir sin sonreír."
Ramo de Girasoles|S,"{n} girasoles de pétalos radiantes alrededor de un disco central, con sus hojas anchas, en un ramillete sencillo. Un detalle luminoso que trae un rayo de sol a cualquier día."
Ramo de Girasoles|M,"{n} girasoles de pétalos radiantes alrededor de un disco central, con hojas anchas, en un ramo alto y redondeado. Transmite energía positiva y la sensación de un día largo de verano."
Ramo de Girasoles|L,{n} girasoles de pétalos radiantes alrededor de un disco central forman un ramo amplio y lleno entre hojas anchas. Un gran gesto de optimismo que ilumina como una tarde de verano.
Ramo de Gladiolos|S,"{n} tallos de gladiolo de espiga alta, con flores acampanadas que se abren de abajo arriba, en un ramillete sencillo. Un detalle esbelto que aporta elegancia sin necesitar nada más."
Ramo de Gladiolos|M,"{n} tallos de gladiolo de espiga alta, con flores acampanadas que se abren de abajo arriba, en un ramo esbelto. Aporta porte y presencia, con una elegancia que se ve desde lejos."
Ramo de Gladiolos|L,"{n} tallos de gladiolo de espiga alta forman un ramo amplio y vertical, con flores acampanadas que se abren de abajo arriba. Un gesto de gran presencia, noble y sereno."
Ramo de Hortensias|S,"{n} hortensias de cabeza redonda, formadas por multitud de florecillas, recogidas en un ramillete sencillo y mullido. Un detalle tierno, con aire de jardín antiguo, que se agradece de cerca."
Ramo de Hortensias|M,"{n} hortensias de cabeza redonda, formadas por multitud de florecillas, reunidas en un ramo voluminoso y redondeado. Tiene un aire de jardín antiguo que envuelve con suavidad."
Ramo de Hortensias|L,"{n} hortensias de cabeza redonda, hechas de multitud de florecillas, componen un ramo amplio y abundante. Un gran gesto que llena la estancia con la calma de un jardín en flor."
Ramo de Lavanda Seca|S,"{n} espigas de lavanda seca, finas y aromáticas, atadas en un ramillete apretado de tallos rectos. Perfuma armarios y rincones con un aroma limpio que invita al descanso."
Ramo de Lirios|S,"{n} tallos de lirio con varias flores y botones alargados en cada uno, recogidos en un ramillete sencillo. Su aroma y su porte dan luz a un rincón con muy poco."
Ramo de Lirios|M,"{n} tallos de lirio con varias flores abiertas y botones alargados en cada uno, reunidos en un ramo elegante. Su porte y su aroma dan a la estancia una presencia luminosa."
Ramo de Lirios|L,"{n} tallos de lirio con varias flores abiertas y botones alargados en cada uno forman un ramo amplio y lleno. Un gran gesto, luminoso y perfumado, que se nota nada más entrar."
Ramo de Margaritas|S,"{n} margaritas de pétalo alargado alrededor de un botón central, recogidas con sus tallos finos en un ramillete sencillo. Un detalle fresco y espontáneo, como traído del campo."
Ramo de Margaritas|M,"{n} margaritas de pétalo alargado alrededor de un botón central, reunidas con sus tallos finos en un ramo desenfadado. Transmite frescura y sencillez, con un optimismo que se contagia enseguida."
Ramo de Margaritas|L,"{n} margaritas de pétalo alargado alrededor de un botón central forman un ramo amplio y lleno, como un prado entero. Un gran gesto de optimismo que alegra a quien lo recibe."
Ramo de Novia Calas|L,"{n} calas de espata lisa y tallo largo, agrupadas en un ramo alargado de líneas muy limpias. Aporta una elegancia pura y moderna que acompaña cada paso con serenidad."
Ramo de Novia Lirios|L,"{n} tallos de lirio con las flores bien abiertas y algunos botones, reunidos en un ramo de caída natural. Tiene una belleza luminosa y serena, con un perfume que envuelve cada momento."
Ramo de Novia Romántico|L,"{n} flores entre peonías, rosas y lisianthus, reunidas en un ramo redondo y mullido con pétalos en capas. Transmite un romanticismo dulce que se recuerda toda la vida."
Ramo de Novia Orquídeas|L,"{n} tallos de orquídea con sus flores cayendo en cascada, compuestos en un ramo ligero y delicado. Aporta una sofisticación natural y un aire exótico lleno de gracia."
Ramo de Novia Peonías|L,"{n} peonías de pétalos llenos y rizados, entre flores abiertas y botones redondos, reunidas en un ramo abundante. Tiene una dulzura generosa que llena de emoción cada instante."
Ramo de Novia Rosas|L,"{n} rosas de pétalo terso, recogidas en un ramo redondo y compacto, con las cabezas muy juntas. Transmite armonía y un romanticismo sereno, de los de siempre."
Ramo de Novia Tulipanes|L,"{n} tulipanes de copa cerrada y tallo limpio, agrupados en un ramo estilizado de líneas sencillas. Tiene una frescura moderna y natural que despeja el ambiente."
Ramo de Pampa Seca|L,"{n} plumas de pampa seca, esponjosas y ligeras, reunidas en un ramo amplio que se mueve con el aire. Da a cualquier rincón un aire cálido y relajado, de casa vivida."
Ramo de Peonías|S,"{n} peonías de flor redonda y pétalos sedosos, algunas aún en botón, recogidas en un ramillete sencillo. Un detalle romántico y delicado que perfuma el ambiente con suavidad."
Ramo de Peonías|M,"{n} peonías de flor redonda y pétalos sedosos, algunas aún en botón, reunidas en un ramo redondo y generoso. Rebosa romanticismo y perfuma la estancia con delicadeza."
Ramo de Peonías|L,"{n} peonías de flor redonda y pétalos sedosos, algunas aún en botón, forman un ramo amplio y desbordante. Un gran gesto romántico que llena la casa de perfume y de ternura."
Ramo de Ranúnculos|S,"{n} ranúnculos de pétalos finos superpuestos en muchas capas, sobre tallos delicados, en un ramillete sencillo. Un detalle minucioso y tierno que enamora poco a poco."
Ramo de Ranúnculos|M,"{n} ranúnculos de pétalos finos superpuestos en muchas capas, sobre tallos delicados, en un ramo ligero y redondeado. Tiene una delicadeza minuciosa que se descubre mirándolo de cerca."
Ramo de Ranúnculos|L,{n} ranúnculos de pétalos finos superpuestos en muchas capas forman un ramo amplio y lleno sobre tallos delicados. Un gran gesto de delicadeza que enamora a primera vista.
Ramo de Rosas|S,"{n} rosas de tallo largo, con el botón a medio abrir, recogidas en un ramillete sencillo y cercano. Un detalle que dice mucho con poco, perfecto para sorprender sin necesitar motivo."
Ramo de Rosas|M,"{n} rosas de tallo largo, con el botón a medio abrir y sus hojas verdes, recogidas en un ramo redondo. Un clásico que nunca falla: lo dice todo sin necesidad de palabras."
Ramo de Rosas|L,"{n} rosas de tallo largo que forman un ramo amplio y lleno, con el botón a medio abrir entre hojas verdes. Un gran gesto para los momentos que merecen quedarse en la memoria."
Ramo de Tulipanes|S,"{n} tulipanes de pétalo satinado y copa alargada, recogidos con sus hojas en un ramillete sencillo. Un detalle alegre y natural, perfecto para llevar la primavera a casa."
Ramo de Tulipanes|M,"{n} tulipanes de pétalo satinado y copa alargada, reunidos con sus hojas en un ramo redondo de aire natural. Transmite alegría tranquila y una elegancia sin artificios."
Ramo de Tulipanes|L,"{n} tulipanes de pétalo satinado y copa alargada forman un ramo amplio y lleno, con sus hojas asomando entre los tallos. Un gran gesto de alegría y elegancia, fresco y sin artificios."
Romero Maceta|S,"Mata de romero de ramas leñosas y hojas finas como agujas, con pequeñas flores que asoman entre ellas. Perfuma la cocina con su aroma de monte y está siempre listo para guisar."
Rosa Eterna Cúpula Cristal|M,"Una rosa de cabeza abierta y pétalo aterciopelado, estabilizada para mantener su tersura, erguida sobre un tallo con hojas. Un detalle romántico y simbólico, como un tesoro guardado."
Rosa Trepadora Roja|L,"Rosal trepador de tallos largos y flexibles, con hojas dentadas y ramilletes de flores a lo largo de las ramas. Trae el encanto de los jardines antiguos y su perfume de siempre."
Sansevieria (Lengua Suegra)|M,"Sansevieria de hojas rígidas, largas y verticales, con bandas onduladas y un filo bien definido. Su porte recto transmite orden y una calma firme a cualquier espacio."
Sedum Burrito|S,"Sedum de tallos colgantes cubiertos de hojitas carnosas y redondeadas, apretadas como cuentas de un collar. Tiene un aire tierno y curioso que siempre despierta preguntas."
Spathiphyllum (Cuna Moisés)|M,"Spathiphyllum de hojas lanceoladas y brillantes, con flores formadas por una espata que envuelve un espádice fino. Transmite paz y una elegancia sencilla, y aporta frescor a cualquier habitación."
Terrario Cactus Redondo|S,"Paisaje de cactus, echeverias y haworthias sobre arena y piedras, dentro de un recipiente de cristal redondo. Tiene algo de mundo aparte, un rincón de desierto que invita a la calma."
Terrario Geométrico Premium|L,"Composición de echeverias, haworthias y sedum sobre capas de sustrato y piedra, en un cristal de caras geométricas. Aporta un toque de diseño y serenidad a un escritorio o una estantería."
Terrario Suculentas Geométrico|S,"Echeverias, haworthias y sedum de formas variadas, plantados entre gravilla en un recipiente de cristal facetado. Un jardín diminuto y ordenado que aporta calma a la mesa de trabajo."
Tomillo Limón Maceta|S,"Mata de tomillo limón de tallos finos y leñosos, cubiertos de hojitas menudas de aroma cítrico. Añade frescura a la cocina y un toque de monte a cada receta."
Zamioculca|M,"Zamioculca de tallos gruesos y erguidos con hojas lustrosas y carnosas dispuestas en pares, como plumas rígidas. Transmite una serenidad firme y aguanta con elegancia los rincones con poca luz."
Árbol de Jade|M,"Crassula de porte arbustivo, con ramas carnosas y hojas redondeadas y gruesas que brillan como pequeñas piedras pulidas. Tiene un aire generoso, de esas plantas que pasan de mano en mano."
Ramo de Lisianthus|S,"{n} tallos de lisianthus con flores de pétalos sedosos y ondulados, entre botones cerrados en espiral, en un ramillete sencillo. Un detalle romántico y ligero, fácil de lucir en cualquier jarrón."
Ramo de Lisianthus|M,"{n} tallos de lisianthus con varias flores de pétalos sedosos y ondulados, entre botones cerrados en espiral, en un ramo redondeado. Tiene una delicadeza romántica que llena la estancia de ternura."
Ramo de Lisianthus|L,"{n} tallos de lisianthus con flores de pétalos sedosos y ondulados forman un ramo amplio y vaporoso, entre botones cerrados en espiral. Un gran gesto romántico, delicado y generoso a la vez."
Ramo de Lilas|S,"{n} lilas de racimos cónicos cuajados de florecillas perfumadas, recogidas entre hojas acorazonadas en un ramillete sencillo. Un detalle dulce y nostálgico que huele a primavera."
Ramo de Lilas|M,"{n} lilas de racimos cónicos cuajados de florecillas perfumadas, entre hojas acorazonadas, en un ramo frondoso y redondeado. Su perfume evoca jardines en primavera y un aire nostálgico muy dulce."
Ramo de Lilas|L,{n} lilas de racimos cónicos cuajados de florecillas perfumadas forman un ramo amplio y abundante entre hojas acorazonadas. Un gran gesto que llena la casa del perfume de un jardín en primavera.
Ramo de Alhelí|S,"{n} alhelíes de espigas densas, con flores de pétalo aterciopelado apretadas a lo largo del tallo, en un ramillete sencillo. Su aroma especiado trae recuerdos de jardín de abuela."
Ramo de Alhelí|M,"{n} alhelíes de espigas densas, con flores de pétalo aterciopelado apretadas a lo largo del tallo, en un ramo redondo y abundante. Su perfume especiado llena la estancia de calidez y recuerdos."
Ramo de Alhelí|L,"{n} alhelíes de espigas densas, con flores de pétalo aterciopelado apretadas en el tallo, forman un ramo amplio y lleno. Un gran gesto perfumado, cálido y generoso, que envuelve toda la casa."
Ramo de Guisantes de Olor|S,"{n} guisantes de olor de pétalos ondulados como alas, sobre tallos finos, recogidos en un ramillete sencillo. Un detalle tierno y perfumado que se disfruta de cerca."
Ramo de Guisantes de Olor|M,"{n} guisantes de olor de pétalos ondulados como alas, sobre tallos finos y trepadores, en un ramo aireado. Su perfume dulce y su aire ligero transmiten una ternura de otro tiempo."
Ramo de Guisantes de Olor|L,{n} guisantes de olor de pétalos ondulados como alas forman un ramo amplio y vaporoso sobre tallos finos. Un gran gesto de ternura que perfuma la casa con dulzura.
Ramo de Snapdragon|S,"{n} tallos de boca de dragón con flores apretadas en la espiga, que se abren como labios, en un ramillete sencillo. Un punto juguetón que alegra la mesa sin ocupar mucho sitio."
Ramo de Snapdragon|M,"{n} tallos de boca de dragón con flores apretadas en la espiga, que se abren como labios, en un ramo esbelto. Aporta altura y un punto juguetón que da movimiento al jarrón."
Ramo de Snapdragon|L,"{n} tallos de boca de dragón con flores apretadas en la espiga forman un ramo amplio y vertical, lleno de movimiento. Un gran gesto alegre y vistoso que llena la estancia."
Ramo de Narcisos|S,"{n} narcisos de pétalos lisos alrededor de una trompeta central, sobre tallos rectos, en un ramillete sencillo. Un detalle fresco y luminoso que alegra cualquier rincón de casa."
Ramo de Narcisos|M,"{n} narcisos de pétalos lisos alrededor de una trompeta central, sobre tallos huecos y rectos, en un ramo redondo. Transmite renovación, como una ventana abierta a la mañana."
Ramo de Narcisos|L,"{n} narcisos de pétalos lisos alrededor de una trompeta central forman un ramo amplio y lleno de luz. Un gran gesto de renovación, como abrir la casa entera a la primavera."
Ramo de Jacintos|S,"{n} jacintos de espiga gruesa formada por florecillas acampanadas y carnosas, recogidos en un ramillete sencillo. Un detalle perfumado que se nota nada más acercarse."
Ramo de Jacintos|M,"{n} jacintos de espiga gruesa formada por florecillas acampanadas y carnosas, reunidos en un ramo compacto y redondo. Su fragancia intensa llena la estancia y despierta los sentidos al instante."
Ramo de Jacintos|L,{n} jacintos de espiga gruesa formada por florecillas acampanadas y carnosas componen un ramo amplio y abundante. Un gran gesto de fragancia intensa que perfuma toda la casa.
Ramo de Muscari Intenso|S,"{n} muscaris de racimos cortos y apretados, formados por diminutas campanitas cerradas, en un ramillete sencillo y denso. Un detalle intenso y delicado que recuerda a los primeros brotes del jardín."
Ramo de Muscari Intenso|M,"{n} muscaris de racimos cortos y apretados, formados por diminutas campanitas cerradas, en un ramo redondo y compacto. Tiene un encanto intenso que llena de vida una mesa o una ventana."
Ramo de Muscari Intenso|L,"{n} muscaris de racimos cortos y apretados, formados por diminutas campanitas cerradas, componen un ramo amplio y tupido. Un gran gesto lleno de intensidad, como un rincón del jardín en plena primavera."
Ramo de Muscari|S,"{n} muscaris de espigas diminutas cuajadas de flores en forma de campana, agrupados en un ramillete delicado. Transmite una ternura sencilla, casi silvestre, que conquista por su discreción."
Ramo de Muscari|M,"{n} muscaris de espigas diminutas cuajadas de flores en forma de campana, reunidos en un ramo redondo y tupido. Tiene un encanto silvestre que alegra una mesa con naturalidad."
Ramo de Muscari|L,"{n} muscaris de espigas diminutas cuajadas de flores en forma de campana forman un ramo amplio y abundante. Un gran gesto de ternura, como traer a casa un prado en primavera."
Ramo de Amarilis|S,"{n} tallos de amarilis con flores en forma de trompeta, abiertas en estrella en lo alto del tallo, en un ramillete sencillo. Un detalle con presencia que se luce sin nada más."
Ramo de Amarilis|M,"{n} tallos de amarilis con flores en forma de trompeta, abiertas en estrella en lo alto del tallo, en un ramo esbelto. Aporta presencia y dramatismo con una belleza que se impone."
Ramo de Amarilis|L,"{n} tallos de amarilis con flores en forma de trompeta, abiertas en estrella, forman un ramo amplio y lleno de fuerza. Un gran gesto elegante que se adueña de cualquier estancia."
Ramo de Nomeolvides|S,"{n} nomeolvides de flores diminutas con un ojo marcado en el centro, recogidas en un ramillete sencillo. Su nombre ya lo dice: un recuerdo tierno que se guarda cerca."
Ramo de Nomeolvides|M,"{n} nomeolvides de flores diminutas con un ojo marcado en el centro, reunidas en un ramo redondo y delicado. Un gesto tierno que invita a no olvidar lo que importa."
Ramo de Nomeolvides|L,{n} nomeolvides de flores diminutas con un ojo marcado en el centro forman un ramo amplio y vaporoso. Un gran gesto de cariño para alguien que nunca se olvida.
Gardenia Maceta|M,"Gardenia de hojas lustrosas y perennes, con flores dobles de pétalos cerosos que se abren en espiral. Su perfume intenso y dulce convierte la casa en un refugio sereno."
Azalea Maceta|M,Azalea de porte compacto cubierta de flores en forma de embudo que casi ocultan sus hojas pequeñas. Alegra un rincón con una floración abundante que llega en los meses fríos.
Camelia Maceta|M,"Camelia de hojas brillantes y coriáceas, con flores de pétalos perfectos colocados en capas simétricas. Tiene una elegancia serena y clásica, muy de jardín señorial del norte."
Hibisco Maceta|M,"Hibisco de hojas brillantes y dentadas, con flores grandes en forma de copa y un largo estambre central. Trae la luz de las islas y alegra patios y ventanas."
Ciclamen Maceta|M,"Ciclamen de hojas acorazonadas con dibujos marmoleados y flores de pétalos vueltos hacia arriba, como alas plegadas. Aporta un encanto delicado y alegre al alféizar de la cocina."
Violeta Africana|M,"Violeta africana de hojas redondas y aterciopeladas en roseta, con ramilletes de flores pequeñas en el centro. Es tierna y hogareña, una compañía tranquila junto a la ventana."
Kalanchoe Maceta|M,"Kalanchoe de hojas carnosas y festoneadas, coronada por ramilletes densos de flores menudas. Aporta alegría y un toque vivo a una mesa, una repisa o una ventana soleada."
Corona Fúnebre Crisantemos|M,"{n} crisantemos de flor redonda y pétalos en capas, colocados muy juntos en un aro compacto con follaje. Un homenaje discreto que transmite respeto y un recuerdo constante."
Corona Fúnebre Crisantemos|L,"{n} crisantemos de flor redonda y pétalos en capas, colocados muy juntos, forman un aro amplio y abundante. Un tributo de gran presencia que honra la memoria con serenidad."
Corona Fúnebre Gladiolos|M,"{n} tallos de gladiolo dispuestos en círculo, con las espigas en flor alternadas con hojas largas y estrechas. Un homenaje sobrio y noble, con un silencio lleno de afecto."
Corona Fúnebre Gladiolos|L,"{n} tallos de gladiolo, con las espigas en flor alternadas con hojas largas y estrechas, forman un círculo amplio y abundante. Un tributo de gran presencia que despide con nobleza y afecto."
Corona Fúnebre Gerberas|M,"{n} gerberas de flor plana, colocadas en círculo con sus pétalos radiales entre un follaje fino. Un recuerdo luminoso y sereno, lleno de gratitud por lo compartido."
Corona Fúnebre Gerberas|L,"{n} gerberas de flor plana, con sus pétalos radiales, forman un círculo amplio y abundante entre follaje fino. Un tributo luminoso que honra con gratitud todo lo compartido."
Corona Fúnebre Margaritas|M,"{n} margaritas de pétalo fino y corazón marcado, colocadas en un aro con hojas que enmarcan el círculo. Expresa un cariño sencillo y sincero, con una dulzura que consuela."
Corona Fúnebre Margaritas|L,"{n} margaritas de pétalo fino y corazón marcado forman un aro amplio y abundante, enmarcado por hojas. Un homenaje de gran presencia y sereno, con la dulzura de lo sencillo."
Corona Fúnebre Rosas y Crisantemos|M,"{n} flores entre rosas y crisantemos, dispuestas en círculo sobre una base de verde. Un homenaje sereno y lleno de respeto para despedir a un ser querido."
Corona Fúnebre Rosas y Crisantemos|L,"{n} flores entre rosas y crisantemos forman un círculo amplio y abundante sobre una base de verde. Un tributo de gran presencia, para acompañar la despedida con todo el cariño."
Corona Fúnebre Lirios y Claveles|M,"{n} tallos entre lirios y claveles, con los lirios abiertos repartidos sobre un aro compacto de claveles. Acompaña el recuerdo con serenidad y una belleza que reconforta."
Corona Fúnebre Lirios y Claveles|L,"{n} tallos entre lirios y claveles forman un aro amplio y abundante, con los lirios abiertos repartidos sobre los claveles. Un tributo de gran presencia que acompaña la despedida con serenidad."
Corona Fúnebre Gladiolos y Rosas|M,"{n} tallos entre gladiolos y rosas, con las espigas dibujando el círculo y las rosas agrupadas al frente. Una despedida digna y afectuosa, sobria en la forma y cálida en el fondo."
Corona Fúnebre Gladiolos y Rosas|L,"{n} tallos entre gladiolos y rosas forman un círculo amplio, con las espigas marcando el contorno y las rosas al frente. Un homenaje de gran presencia, digno y lleno de afecto."
Corona Fúnebre Claveles y Margaritas|M,"{n} flores entre claveles y margaritas, alternadas en un aro redondo con un fondo de follaje fino. Transmite un afecto humilde y cercano, como las flores de campo."
Corona Fúnebre Claveles y Margaritas|L,"{n} flores entre claveles y margaritas, alternadas en un aro amplio y abundante sobre follaje fino. Un tributo generoso y sereno, con la sencillez cercana de las flores de campo."
Corona Fúnebre Tradicional|M,"{n} flores entre claveles, crisantemos y gladiolos, compuestas en círculo al estilo de siempre, con follaje de acompañamiento. Un adiós respetuoso, fiel a la tradición y lleno de consideración."
Corona Fúnebre Tradicional|L,"{n} flores entre claveles, crisantemos y gladiolos forman un círculo amplio y abundante, al estilo de siempre. Un tributo de gran presencia, fiel a la tradición y lleno de respeto."
Corona Fúnebre Premium Flores Blancas|L,"{n} flores entre lirios, rosas y crisantemos, compuestas en una corona amplia, con los lirios abiertos en lo alto. Honra la memoria con una quietud serena que envuelve."
